imgs,labels,azimuth
imagenet_aeroplane_n02690373_10111_0.jpg,aeroplane,280.3421536749568
imagenet_aeroplane_n02690373_1012_0.jpg,aeroplane,287.0761341359372
imagenet_aeroplane_n02690373_10181_0.jpg,aeroplane,307.86502645930165
imagenet_aeroplane_n02690373_1028_0.jpg,aeroplane,265.1559495323592
imagenet_aeroplane_n02690373_10343_0.jpg,aeroplane,305.5566719419326
imagenet_aeroplane_n02690373_1055_0.jpg,aeroplane,290.8503923322242
imagenet_aeroplane_n02690373_10657_0.jpg,aeroplane,89.26893640866042
imagenet_aeroplane_n02690373_1083_0.jpg,aeroplane,280.1381191017261
imagenet_aeroplane_n02690373_114_0.jpg,aeroplane,309.21120580394904
imagenet_aeroplane_n02690373_1178_0.jpg,aeroplane,264.52399682708364
imagenet_aeroplane_n02690373_120_0.jpg,aeroplane,289.5965923071954
imagenet_aeroplane_n02690373_1229_0.jpg,aeroplane,254.7595833841348
imagenet_aeroplane_n02690373_12483_0.jpg,aeroplane,251.48229764953803
imagenet_aeroplane_n02690373_1251_0.jpg,aeroplane,106.29799156683887
imagenet_aeroplane_n02690373_1296_0.jpg,aeroplane,134.55188296626145
imagenet_aeroplane_n02690373_1316_0.jpg,aeroplane,257.59367901088973
imagenet_aeroplane_n02690373_1325_0.jpg,aeroplane,314.5446833888059
imagenet_aeroplane_n02690373_1348_0.jpg,aeroplane,241.6762070853349
imagenet_aeroplane_n02690373_1354_0.jpg,aeroplane,296.01729898614985
imagenet_aeroplane_n02690373_139_0.jpg,aeroplane,258.4434294923479
imagenet_aeroplane_n02690373_14204_0.jpg,aeroplane,295.5701814375593
imagenet_aeroplane_n02690373_1446_0.jpg,aeroplane,296.12546742058987
imagenet_aeroplane_n02690373_1492_0.jpg,aeroplane,277.26859755598224
imagenet_aeroplane_n02690373_152_0.jpg,aeroplane,270.90087651246967
imagenet_aeroplane_n02690373_1562_0.jpg,aeroplane,76.10582624054447
imagenet_aeroplane_n02690373_1631_0.jpg,aeroplane,297.49999999908744
imagenet_aeroplane_n02690373_1648_0.jpg,aeroplane,64.06188035822274
imagenet_aeroplane_n02690373_166_0.jpg,aeroplane,67.50000000024993
imagenet_aeroplane_n02690373_1670_0.jpg,aeroplane,328.1936490620017
imagenet_aeroplane_n02690373_1691_0.jpg,aeroplane,256.1646959853509
imagenet_aeroplane_n02690373_170_0.jpg,aeroplane,279.48706509441547
imagenet_aeroplane_n02690373_17307_0.jpg,aeroplane,285.6194764792717
imagenet_aeroplane_n02690373_1733_0.jpg,aeroplane,95.94990310291884
imagenet_aeroplane_n02690373_1769_0.jpg,aeroplane,248.9461004713233
imagenet_aeroplane_n02690373_1812_0.jpg,aeroplane,92.74185176111492
imagenet_aeroplane_n02690373_1844_0.jpg,aeroplane,306.29563454598406
imagenet_aeroplane_n02690373_1856_0.jpg,aeroplane,47.31707781357028
imagenet_aeroplane_n02690373_18693_0.jpg,aeroplane,268.2920230717671
imagenet_aeroplane_n02690373_1903_0.jpg,aeroplane,242.79949704414125
imagenet_aeroplane_n02690373_1928_0.jpg,aeroplane,95.46935016556232
imagenet_aeroplane_n02690373_1933_0.jpg,aeroplane,266.5470916832603
imagenet_aeroplane_n02690373_194_0.jpg,aeroplane,274.1944257560476
imagenet_aeroplane_n02690373_1965_0.jpg,aeroplane,246.029722828442
imagenet_aeroplane_n02690373_1984_0.jpg,aeroplane,230.9298983616863
imagenet_aeroplane_n02690373_2006_0.jpg,aeroplane,228.799875181204
imagenet_aeroplane_n02690373_2024_0.jpg,aeroplane,258.24448434329025
imagenet_aeroplane_n02690373_2026_0.jpg,aeroplane,260.90455752257867
